,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,2000.0,50.0,0.0,0.0,50.0
1,2000.0,50.0,0.0,1.0,50.0
2,2000.0,50.0,0.0,2.0,50.0
3,2000.0,50.0,0.0,3.0,50.0
4,2000.0,50.0,0.0,4.0,50.0
5,2000.0,50.0,0.0,5.0,50.0
6,2000.0,50.0,0.0,6.0,50.0
7,2000.0,50.0,0.0,7.0,50.0
8,2000.0,50.0,0.0,8.0,50.0
9,2000.0,50.0,0.0,9.0,50.0
10,2000.0,50.0,0.0,10.0,50.0
11,2000.0,50.0,0.0,11.0,50.0
12,2000.0,50.0,0.0,12.0,50.0
13,2000.0,50.0,0.0,13.0,50.0
14,2000.0,50.0,0.0,14.0,50.0
15,2000.0,50.0,0.0,15.0,50.0
16,2000.0,50.0,0.0,16.0,50.0
17,2000.0,50.0,0.0,17.0,50.0
18,2000.0,50.0,0.0,18.0,50.0
19,2000.0,50.0,0.0,19.0,50.0
20,2000.0,50.0,0.0,20.0,50.0
